,Born,Died,Title Year,Population,Latitude,Longitude,Birthplace,region,name
19115,1980,,2005,1049516.0,41.725,44.7908333,Tbilisi,,
19116,1959,,1991,1049516.0,41.725,44.7908333,Tbilisi,,
19117,1950,,1988,1049516.0,41.725,44.7908333,Tbilisi,,
19118,1957,,1984,1049516.0,41.725,44.7908333,Tbilisi,,
19119,1993,,2014,50438.0,4.732444999999999,-74.26419200000001,Madrid,,
19139,1973,,2006,50438.0,4.732444999999999,-74.26419200000001,Madrid,,
19159,1970,,1995,50438.0,4.732444999999999,-74.26419200000001,Madrid,,
19179,1998,,2014,1129289.0,55.0,73.4,Omsk,,
19180,1983,,2001,1129289.0,55.0,73.4,Omsk,,
19181,1972,,1995,1129289.0,55.0,73.4,Omsk,,
19182,1944,2011,1975,1129289.0,55.0,73.4,Omsk,,
19183,1968,,2007,1129289.0,55.0,73.4,Omsk,,
19184,1988,,2008,,53.666667,10.833333,Salem,,
19326,2001,,2017,4227.0,42.85,-80.5,Delhi,,
19341,1995,,2012,4227.0,42.85,-80.5,Delhi,,
19356,2004,,2019,4227.0,42.85,-80.5,Delhi,,
19371,1961,,1994,,43.25,76.95,Alma-Ata,Africa,Algeria
19432,1960,2004,1992,539622.0,53.7557,87.1099,Novokuznetsk,,
19433,1974,,1990,539622.0,53.7557,87.1099,Novokuznetsk,,
19434,1966,,2003,539622.0,53.7557,87.1099,Novokuznetsk,,
19435,1966,,2000,,51.434167,-3.237778,Saint Andrew,,
19499,1964,,1994,9797536.0,41.018611,28.964722,Istanbul,,
19500,1922,,1952,,-9.4916,119.0063,Kaluga,,
19508,1978,,1997,,49.798889,73.09944399999999,Karaganda,,
19510,1987,,2009,,49.798889,73.09944399999999,Karaganda,,
19512,1983,,2003,1742123.0,53.9,27.566666700000003,Minsk,,
19515,1949,,1995,1742123.0,53.9,27.566666700000003,Minsk,,
19518,1968,,1989,1742123.0,53.9,27.566666700000003,Minsk,,
19521,1994,,2013,1742123.0,53.9,27.566666700000003,Minsk,,
19524,1949,2017,1980,1742123.0,53.9,27.566666700000003,Minsk,,
19527,1962,,2004,1742123.0,53.9,27.566666700000003,Minsk,,
19530,1985,,2011,1742123.0,53.9,27.566666700000003,Minsk,,
19533,1975,,1995,1742123.0,53.9,27.566666700000003,Minsk,,
19536,1990,,2011,1742123.0,53.9,27.566666700000003,Minsk,,
19539,1978,,2006,1742123.0,53.9,27.566666700000003,Minsk,,
19542,1971,,1999,1742123.0,53.9,27.566666700000003,Minsk,,
19545,1985,,2006,1742123.0,53.9,27.566666700000003,Minsk,,
19548,1989,,2007,1742123.0,53.9,27.566666700000003,Minsk,,
19551,1988,,2012,,-21.3833333,-66.1333333,Matanzas,,
19623,1976,,2004,,-21.3833333,-66.1333333,Matanzas,,
19695,1994,,2017,,-21.3833333,-66.1333333,Matanzas,,
19767,1989,,2007,,-25.516667,-54.61666700000001,Ciudad del Este,,
19768,1983,,1997,15466.0,51.233333,4.8333330000000005,Lille,,
19773,1969,,1999,28341.0,46.3,23.716667,Aiud,,
19774,1999,,2015,1881977.0,43.850833,126.560278,Jilin,,
19778,1978,,1998,,50.433333000000005,30.516667,Kyiv,,
19779,1991,,2013,,50.433333000000005,30.516667,Kyiv,,
19780,1936,2002,1967,,50.433333000000005,30.516667,Kyiv,,
19781,1972,,1993,,50.433333000000005,30.516667,Kyiv,,
19782,1984,,2008,,50.433333000000005,30.516667,Kyiv,,
19783,1977,,1999,,50.433333000000005,30.516667,Kyiv,,
19784,1950,,2011,,50.433333000000005,30.516667,Kyiv,,
19786,1964,,2007,,50.433333000000005,30.516667,Kyiv,,
19787,1969,,2007,,50.433333000000005,30.516667,Kyiv,,
19788,1955,,2005,,50.433333000000005,30.516667,Kyiv,,
19789,1966,,1994,,50.433333000000005,30.516667,Kyiv,,
19790,1998,,2017,,50.433333000000005,30.516667,Kyiv,,
19791,1975,,2001,,50.433333000000005,30.516667,Kyiv,,
19792,1949,,1973,,55.5781,59.3258,Shadrinsk,,
19794,1990,,2019,60768.0,47.85,12.133333,Rosenheim,Africa,Algeria
19855,1941,1998,1976,,5.23839,-72.678678,Manila,,
19934,1974,,2004,,5.23839,-72.678678,Manila,,
20013,1982,,2010,,5.23839,-72.678678,Manila,,
20092,1966,,1999,,43.35,25.3333333,Batak,,
20098,1989,,2011,18711.0,45.993056,18.683056,Mohács,Africa,Algeria
20158,1951,,1973,18711.0,45.993056,18.683056,Mohács,Africa,Algeria
20218,1992,,2016,57239.0,-20.916667,-47.0,São Sebastião do Paraíso,,
20219,1986,,2011,,14.1008,122.956,Pasig,,
20225,1972,,2010,,13.270556,123.443056,Bacolod,,
20242,1936,2016,1967,179430.0,48.1,20.783333,Miskolc,,
20243,1966,,1989,29849.0,54.754722,61.32083299999999,Yemanzhelinsk,,
20244,1957,,1986,,43.8955556,19.2711111,Kragujevac,,
20246,1958,,1997,,43.8955556,19.2711111,Kragujevac,,
20248,1986,,2011,,-12.05,-68.15,Medellín,,
