,game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_black_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
108,213bb134-14f1-401a-926f-a9f0b1023106,124,62,"Paulsen, Louis",Bd1,c2d1,c2,d1,B,Black,8/2k5/8/3p1Pp1/B2P2P1/1p6/7K/3b4,0,0,0,0,0,0,5,5,3,3,0,0,1,1,0,0,0,0,33,33,0,1,0,3,1,0,0,0,0,0,0,5,1,0,0,0,1,0,1,0,2,0,1,0,3,0,1,0,2,0,0,0,"e4,e6"
109,21af2bf1-7ae1-4e77-9003-be0b363325e9,88,44,"MacKenzie, George H",Re1,e2e1,e2,e1,R,Black,6k1/p5pp/8/Pp1p1p2/1P1P1P1P/5P1K/2p5/2B1r3,0,0,0,0,0,0,8,9,6,7,0,0,1,0,0,0,0,1,27,30,1,0,2,4,1,0,0,0,3,0,1,4,1,0,0,0,1,1,0,0,3,0,3,1,5,1,0,0,3,0,3,0,"d4,f5"
110,21c34efe-24f2-461d-8ed6-ef02e314da0a,72,36,"Anderssen, Adolf",Rd2,d8d2,d8,d2,R,Black,4k3/1p2Bp1p/5Pp1/4r3/P1p5/2P5/3r2PP/R2n1K2,0,0,0,0,0,0,8,9,5,5,0,0,1,0,0,1,1,2,21,26,2,2,1,1,0,1,1,0,5,2,1,1,0,1,3,0,1,1,0,1,1,1,3,1,3,5,0,1,5,1,3,0,"e4,e5"
111,22ca03da-29e4-42d0-861b-d3c1e94e7cfd,59,30,"Neumann, Gustav",axb3,a2b3,a2,b3,P,White,r2q4/5kpQ/p4p2/1p6/6p1/BP6/5PPP/4R1K1,0,0,0,0,0,0,8,8,4,5,1,1,1,0,0,0,1,1,20,18,2,3,2,0,0,0,1,0,5,3,4,0,0,0,9,0,0,0,0,1,1,2,2,2,0,0,0,1,1,2,1,14,"e4,e5"
112,2341d686-4291-4e5d-a544-8444b3d1c3bd,98,49,Steinitz/Potter,Qf2,e3f2,e3,f2,Q,Black,r7/2kp2p1/2p2p2/1n6/1Q3P2/6P1/5qBP/4R2K,0,0,0,0,0,0,7,8,3,4,1,1,1,0,0,1,1,1,18,19,2,2,1,2,0,0,0,0,5,4,1,10,0,0,0,0,0,1,0,0,1,2,3,1,0,9,0,0,3,2,2,5,"e4,e5"
113,23587bac-d48c-4ace-90f2-cefc07ea9d68,45,23,"Zukertort, Johannes",Rg1,a1g1,a1,g1,R,White,r1r2k2/p1p2p1B/2p2B1p/3pN3/8/7b/P4P1P/6RK,0,0,0,0,0,0,8,10,3,6,0,0,2,1,1,0,1,2,20,22,2,3,0,0,1,1,1,0,5,3,0,0,3,3,3,0,0,0,1,0,1,2,3,3,0,0,3,0,1,2,3,10,"e4,e5"
114,235a1233-2cbb-419f-a293-5bb74ce7c9f7,59,30,"Rosenthal, Samuel",Nb6+,a8b6,a8,b6,N,White,1nk1b3/1r3pb1/pN5p/3P4/1P2P2P/2P1B3/5KP1/R1R5,1,0,0,0,0,0,11,8,6,3,0,0,1,2,1,1,2,1,22,17,2,2,2,3,1,1,0,0,10,1,4,3,1,3,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,2,9,6,"e4,e5"
115,245e8677-abc7-4c83-bfbc-6459369d5b66,40,20,"Kolisch, Ignac",Nc3+,e4c3,e4,c3,N,Black,r1b1r1k1/pp3pp1/7p/2Pp4/8/1Pn2Q1P/P1PN2q1/R1BK1R2,1,0,0,0,0,0,11,12,5,6,1,1,1,1,1,1,2,2,8,9,4,3,3,0,1,0,0,0,13,5,11,0,1,0,0,0,0,1,1,0,1,1,4,4,0,9,3,0,1,1,4,13,"e4,e5"
116,246786bd-ff59-48c5-9bc4-fe54d9fa2fe5,70,35,"Zukertort, Johannes",d4,d5d4,d5,d4,P,Black,r1r4k/6p1/4N3/2p1B3/3p3P/1p6/2p2PP1/2R3K1,0,0,0,0,0,0,7,8,3,5,0,0,1,0,1,0,1,2,24,25,2,2,0,1,1,1,0,0,5,2,0,1,3,3,0,0,0,1,1,1,1,0,1,3,0,1,1,1,1,0,1,10,"e4,e5"
117,246a292c-7648-494b-bc69-fc21a4018389,102,51,"Steinitz, Wilhelm",Re2,e8e2,e8,e2,R,Black,2b5/5k2/2pb2p1/3p1pP1/p1qP3p/P4Q1P/1PN1rPN1/2K3R1,0,0,0,0,0,0,11,11,6,6,1,1,0,2,2,0,1,1,13,13,2,4,3,1,1,0,0,0,5,8,11,1,1,0,0,0,0,1,0,3,2,3,1,1,0,5,0,11,2,5,0,3,"d4,f5"
